x1,x2,year,count,url
('til) I Kissed You,The Everly Brothers,1959,7,/the-everly-brothers/('til)-i-kissed-you/
(Marie's The Name) His Latest Flame,Elvis Presley,1961,2,/elvis-presley/(marie's-the-name)-his-latest-flame/
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959,5,/elvis-presley-with-the-jordanaires/(now-and-then-there's)-a-fool-such-as-i/
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,1959,2,/paul-evans-and-the-curls/(seven-little-girls)-sitting-in-the-back-seat/
(The Man Who Shot) Liberty Valance,Gene Pitney,1962,5,/gene-pitney/(the-man-who-shot)-liberty-valance/
16 Candles,The Crests,1959,8,/the-crests/16-candles/
A Big Hunk O' Love,Elvis Presley With The Jordanaires,1959,7,/elvis-presley-with-the-jordanaires/a-big-hunk-o'-love/
A Boy Without A Girl,Frankie Avalon,1959,1,/frankie-avalon/a-boy-without-a-girl/
A Hundred Pounds Of Clay,Gene McDaniels,1961,8,/gene-mcdaniels/a-hundred-pounds-of-clay/
A Little Bitty Tear,Burl Ives,1962,2,/burl-ives/a-little-bitty-tear/
A Lover's Question,Clyde McPhatter,1959,5,/clyde-mcphatter/a-lover's-question/
A Million To One,Jimmy Charles and The Revelletts,1960,5,/jimmy-charles-and-the-revelletts/a-million-to-one/
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,1960,3,/dinah-washington-&-brook-benton/a-rockin'-good-way-(to-mess-around-and-fall-in-love)/
A Teenager In Love,Dion & The Belmonts,1959,7,/dion-&-the-belmonts/a-teenager-in-love/
A Thousand Stars,Kathy Young With The Innocents,1960,8,/kathy-young-with-the-innocents/a-thousand-stars/
"Ahab, The Arab",Ray Stevens,1962,5,"/ray-stevens/ahab,-the-arab/"
Al Di La',Emilio Pericoli,1962,3,/emilio-pericoli/al-di-la'/
All Alone Am I,Brenda Lee,1962,7,/brenda-lee/all-alone-am-i/
Alley Cat,Bent Fabric and His Piano,1962,3,/bent-fabric-and-his-piano/alley-cat/
Alley-Oop,Hollywood Argyles,1960,8,/hollywood-argyles/alley-oop/
Alone At Last,Jackie Wilson,1960,1,/jackie-wilson/alone-at-last/
Along Came Jones,The Coasters,1959,2,/the-coasters/along-came-jones/
Alvin's Harmonica,David Seville And The Chipmunks,1959,6,/david-seville-and-the-chipmunks/alvin's-harmonica/
Among My Souvenirs,Connie Francis,1959,2,/connie-francis/among-my-souvenirs/
Among My Souvenirs,Connie Francis,1960,3,/connie-francis/among-my-souvenirs/
Angel Baby,Rosie And The Originals,1960,1,/rosie-and-the-originals/angel-baby/
Angel Baby,Rosie And The Originals,1961,6,/rosie-and-the-originals/angel-baby/
Apache,Jorgen Ingmann & His Guitar,1961,5,/jorgen-ingmann-&-his-guitar/apache/
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1960,7,/elvis-presley-with-the-jordanaires/are-you-lonesome-to-night?/
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1961,4,/elvis-presley-with-the-jordanaires/are-you-lonesome-to-night?/
As If I Didn't Know,Adam Wade,1961,2,/adam-wade/as-if-i-didn't-know/
Asia Minor,Kokomo,1961,1,/kokomo/asia-minor/
Baby (You've Got What It Takes),Dinah Washington & Brook Benton,1960,6,/dinah-washington-&-brook-benton/baby-(you've-got-what-it-takes)/
Baby It's You,The Shirelles,1962,2,/the-shirelles/baby-it's-you/
Baby Sittin' Boogie,Buzz Clifford,1961,3,/buzz-clifford/baby-sittin'-boogie/
Baby Talk,Jan & Dean,1959,1,/jan-&-dean/baby-talk/
Be My Guest,Fats Domino,1959,2,/fats-domino/be-my-guest/
Because They're Young,Duane Eddy And The Rebels,1960,4,/duane-eddy-and-the-rebels/because-they're-young/
Beyond The Sea,Bobby Darin,1960,4,/bobby-darin/beyond-the-sea/
Big Bad John,Jimmy Dean,1961,10,/jimmy-dean/big-bad-john/
Big Girls Don't Cry,The 4 Seasons,1962,9,/the-4-seasons/big-girls-don't-cry/
Blue Angel,Roy Orbison,1960,2,/roy-orbison/blue-angel/
Blue Moon,The Marcels,1961,8,/the-marcels/blue-moon/
Bobby Sox To Stockings,Frankie Avalon,1959,1,/frankie-avalon/bobby-sox-to-stockings/
Bobby's Girl,Marcie Blane,1962,7,/marcie-blane/bobby's-girl/
